#VisAO r-prime
#Effective wavelength =      0.62645846 microns
#Effective width =       0.11159971 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.533000      0.00000      0.00000      0.00000
     0.533500  2.23437e-06  1.76706e-06  1.76706e-06
     0.534000  2.70028e-06  2.13753e-06  2.13753e-06
     0.534500  3.67644e-06  2.91297e-06  2.91297e-06
     0.535000  2.29823e-06  1.82267e-06  1.82267e-06
     0.535500  3.49527e-06  2.77461e-06  2.77461e-06
     0.536000  4.73673e-06  3.76361e-06  3.76361e-06
     0.536500  5.48197e-06  4.35981e-06  4.35981e-06
     0.537000  1.04746e-05  8.33820e-06  8.33820e-06
     0.537500  1.82492e-05  1.45407e-05  1.45407e-05
     0.538000  3.09726e-05  2.47014e-05  2.47014e-05
     0.538500  5.34464e-05  4.26644e-05  4.26644e-05
     0.539000  9.16042e-05  7.31924e-05  7.31924e-05
     0.539500  0.000156156  0.000124886  0.000124886
     0.540000  0.000258370  0.000206823  0.000206823
     0.540500  0.000421307  0.000337564  0.000337564
     0.541000  0.000679893  0.000545254  0.000545254
     0.541500   0.00105691  0.000848395  0.000848395
     0.542000   0.00163454   0.00131327   0.00131327
     0.542500   0.00248022   0.00199458   0.00199458
     0.543000   0.00364601   0.00293480   0.00293480
     0.543500   0.00527060   0.00424640   0.00424640
     0.544000   0.00748784   0.00603833   0.00603833
     0.544500    0.0104141   0.00840588   0.00840588
     0.545000    0.0142352    0.0115006    0.0115006
     0.545500    0.0191142    0.0154566    0.0154566
     0.546000    0.0251865    0.0203855    0.0203855
     0.546500    0.0325245    0.0263489    0.0263489
     0.547000    0.0413749    0.0335495    0.0335495
     0.547500    0.0517591    0.0420080    0.0420080
     0.548000    0.0635633    0.0516355    0.0516355
     0.548500    0.0772985    0.0628506    0.0628506
     0.549000    0.0927432    0.0754772    0.0754772
     0.549500     0.109407    0.0891197    0.0891197
     0.550000     0.127793     0.104191     0.104191
     0.550500     0.147529     0.120392     0.120392
     0.551000     0.168266     0.137439     0.137439
     0.551500     0.190231     0.155521     0.155521
     0.552000     0.213267     0.174512     0.174512
     0.552500     0.236896     0.194022     0.194022
     0.553000     0.260829     0.213817     0.213817
     0.553500     0.285333     0.234116     0.234116
     0.554000     0.309833     0.254448     0.254448
     0.554500     0.333649     0.274254     0.274254
     0.555000     0.357130     0.293819     0.293819
     0.555500     0.380878     0.313640     0.313640
     0.556000     0.403960     0.332947     0.332947
     0.556500     0.426754     0.352050     0.352050
     0.557000     0.449038     0.370766     0.370766
     0.557500     0.470272     0.388647     0.388647
     0.558000     0.491009     0.406149     0.406149
     0.558500     0.510951     0.423023     0.423023
     0.559000     0.530127     0.439292     0.439292
     0.559500     0.548331     0.454783     0.454783
     0.560000     0.565819     0.469707     0.469707
     0.560500     0.582205     0.483741     0.483741
     0.561000     0.597762     0.497110     0.497110
     0.561500     0.612757     0.510035     0.510035
     0.562000     0.626998     0.522353     0.522353
     0.562500     0.640197     0.533824     0.533824
     0.563000     0.652923     0.544919     0.544919
     0.563500     0.664906     0.555413     0.555413
     0.564000     0.676154     0.565309     0.565309
     0.564500     0.686916     0.574817     0.574817
     0.565000     0.697012     0.583781     0.583781
     0.565500     0.706570     0.592310     0.592310
     0.566000     0.715586     0.600399     0.600399
     0.566500     0.724258     0.608212     0.608212
     0.567000     0.732362     0.615560     0.615560
     0.567500     0.740033     0.622556     0.622556
     0.568000     0.747457     0.629356     0.629356
     0.568500     0.754350     0.635718     0.635718
     0.569000     0.761026     0.641909     0.641909
     0.569500     0.767366     0.647826     0.647826
     0.570000     0.773402     0.653494     0.653494
     0.570500     0.779388     0.659130     0.659130
     0.571000     0.785241     0.664662     0.664662
     0.571500     0.790948     0.670079     0.670079
     0.572000     0.796535     0.675402     0.675402
     0.572500     0.801512     0.680217     0.680217
     0.573000     0.806502     0.685049     0.685049
     0.573500     0.811282     0.689711     0.689711
     0.574000     0.815822     0.694175     0.694175
     0.574500     0.820360     0.698644     0.698644
     0.575000     0.824615     0.702879     0.702879
     0.575500     0.828769     0.707034     0.707034
     0.576000     0.832768     0.711063     0.711063
     0.576500     0.836421     0.714803     0.714803
     0.577000     0.837679     0.716498     0.716498
     0.577500     0.839765     0.718905     0.718905
     0.578000     0.843162     0.722437     0.722437
     0.578500     0.846533     0.725953     0.725953
     0.579000     0.849635     0.729243     0.729243
     0.579500     0.852609     0.732428     0.732428
     0.580000     0.855615     0.735644     0.735644
     0.580500     0.858435     0.738705     0.738705
     0.581000     0.860674     0.741270     0.741270
     0.581500     0.863103     0.744002     0.744002
     0.582000     0.865338     0.746569     0.746569
     0.582500     0.867560     0.749130     0.749130
     0.583000     0.869569     0.751509     0.751509
     0.583500     0.871649     0.753953     0.753953
     0.584000     0.873844     0.756499     0.756499
     0.584500     0.875111     0.758244     0.758244
     0.585000     0.876819     0.760374     0.760374
     0.585500     0.878266     0.762280     0.762280
     0.586000     0.877395     0.762174     0.762174
     0.586500     0.877315     0.762756     0.762756
     0.587000     0.878713     0.764622     0.764622
     0.587500     0.879975     0.766372     0.766372
     0.588000     0.881232     0.768120     0.768120
     0.588500     0.882353     0.769752     0.769752
     0.589000     0.883401     0.771321     0.771321
     0.589500     0.884652     0.773068     0.773068
     0.590000     0.885694     0.774635     0.774635
     0.590500     0.886832     0.776288     0.776288
     0.591000     0.887983     0.777954     0.777954
     0.591500     0.889137     0.779623     0.779623
     0.592000     0.890340     0.781339     0.781339
     0.592500     0.891446     0.782969     0.782969
     0.593000     0.892615     0.784658     0.784658
     0.593500     0.893725     0.786296     0.786296
     0.594000     0.894834     0.787935     0.787935
     0.594500     0.895979     0.789607     0.789607
     0.595000     0.897060     0.791225     0.791225
     0.595500     0.898213     0.792908     0.792908
     0.596000     0.899375     0.794601     0.794601
     0.596500     0.900431     0.796201     0.796201
     0.597000     0.901519     0.797830     0.797830
     0.597500     0.902685     0.799531     0.799531
     0.598000     0.903830     0.801216     0.801216
     0.598500     0.904948     0.802878     0.802878
     0.599000     0.906206     0.804665     0.804665
     0.599500     0.907385     0.806384     0.806384
     0.600000     0.908710     0.808235     0.808235
     0.600500     0.909902     0.809971     0.809971
     0.601000     0.911255     0.811850     0.811850
     0.601500     0.912571     0.813699     0.813699
     0.602000     0.913898     0.815560     0.815560
     0.602500     0.915328     0.817514     0.817514
     0.603000     0.916753     0.819467     0.819467
     0.603500     0.918194     0.821435     0.821435
     0.604000     0.919710     0.823473     0.823473
     0.604500     0.921138     0.825434     0.825434
     0.605000     0.922652     0.827475     0.827475
     0.605500     0.924138     0.829493     0.829493
     0.606000     0.925630     0.831518     0.831518
     0.606500     0.927175     0.833593     0.833593
     0.607000     0.928620     0.835581     0.835581
     0.607500     0.930138     0.837636     0.837636
     0.608000     0.931553     0.839601     0.839601
     0.608500     0.932979     0.841578     0.841578
     0.609000     0.934505     0.843647     0.843647
     0.609500     0.935829     0.845535     0.845535
     0.610000     0.937293     0.847553     0.847553
     0.610500     0.938487     0.849328     0.849328
     0.611000     0.939617     0.851047     0.851047
     0.611500     0.940811     0.852826     0.852826
     0.612000     0.942020     0.854620     0.854620
     0.612500     0.942875     0.856094     0.856094
     0.613000     0.941102     0.855182     0.855182
     0.613500     0.940640     0.855460     0.855460
     0.614000     0.941822     0.857233     0.857233
     0.614500     0.942957     0.858965     0.858965
     0.615000     0.944099     0.860705     0.860705
     0.615500     0.945200     0.862409     0.862409
     0.616000     0.946347     0.864157     0.864157
     0.616500     0.947675     0.866072     0.866072
     0.617000     0.948502     0.867531     0.867531
     0.617500     0.949534     0.869179     0.869179
     0.618000     0.950507     0.870774     0.870774
     0.618500     0.951459     0.872351     0.872351
     0.619000     0.952400     0.873919     0.873919
     0.619500     0.953345     0.875493     0.875493
     0.620000     0.954295     0.877073     0.877073
     0.620500     0.955498     0.878888     0.878888
     0.621000     0.954814     0.878966     0.878966
     0.621500     0.953794     0.878734     0.878734
     0.622000     0.954884     0.880446     0.880446
     0.622500     0.955966     0.882152     0.882152
     0.623000     0.956961     0.883780     0.883780
     0.623500     0.957932     0.885387     0.885387
     0.624000     0.958985     0.887070     0.887070
     0.624500     0.959955     0.888679     0.888679
     0.625000     0.960879     0.890247     0.890247
     0.625500     0.961847     0.891856     0.891856
     0.626000     0.962763     0.893419     0.893419
     0.626500     0.963595     0.894905     0.894905
     0.627000     0.964443     0.896408     0.896408
