15079.8 746.493 22.928  0.361585 0.0192052
18278.3 261.584 167.309  0.291409 0.0303582
13075.5 315.362 923.505  0.413934 0.0532549
17752.7 1103.3 4.33285  0.301927 0.0721283
18247.8 0.451111 143.795  0.29201 0.0963883
15625.9 0.00308775 1006.64  0.348505 0.1261
20947.6 1231.62 1274.37  0.24339 0.150711
18510.2 371.895 127.956  0.286887 0.179619
16927.3 2021.52 716.331  0.319216 0.207852
18936.5 445.838 531.801  0.278754 0.231319
17274.4 1309.47 794.718  0.311829 0.254102
14700.7 958.751 1581.07  0.370951 0.275649
inf inf inf  0 0.273083
18159.8 59.9158 378.18  0.293749 0.28749
17804.5 719.654 1013.13  0.300874 0.300165
20172.1 129.499 257.138  0.256461 0.290255
18842.8 14.0596 8.00809  0.280522 0.288914
21287.5 312.51 215.363  0.237872 0.27731
21940.4 71.7462 147.92  0.227623 0.271962
16593 13.322 147.504  0.326497 0.273786
16552.1 752.853 1702.24  0.327398 0.269767
20585.3 4509.65 634.592  0.249411 0.268868
15594.3 266.02 968.711  0.349249 0.274058
21529.5 77.1452 310.458  0.23402 0.27012
18769.7 627.444 651.2  0.281908 0.274228
18836.3 265.846 373.803  0.280645 0.277385
15279 196.283 66.771  0.356759 0.273742
19052.9 773.423 100.238  0.276574 0.28827
16786.8 14.43 63.8815  0.322255 0.291789
16330.6 273.919 240.014  0.332326 0.293938
17795.2 0.203366 20.9981  0.301063 0.297167
22498.1 130.892 912.381  0.219218 0.294465
18652.3 819.328 252.528  0.284149 0.297581
19663.8 1962.33 2192.14  0.265407 0.30006
16494.1 186.353 2422.61  0.328681 0.301015
19233.9 776.597 1407.71  0.273218 0.296215
19494.9 1009.72 341.635  0.268449 0.298129
23794.5 718.956 15.7685  0.200862 0.28878
19535.7 352.093 529.054  0.267711 0.290092
16453.1 2.02114 13.1499  0.329592 0.290172
14780.2 65.182 12.4222  0.368966 0.293258
18788.4 43.2129 2673.17  0.281553 0.286884
19341.2 197.076 754.681  0.271246 0.287605
15311.1 60.9033 30.4909  0.355986 0.291493
17606.4 1683.22 214.62  0.304922 0.290949
20050.1 6.22114 219.944  0.258581 0.289343
16490.8 897.5 1233.85  0.328755 0.297339
18052.1 993.917 1234.15  0.29589 0.298406
15694.6 1945.64 31.0727  0.346896 0.305076
18377 1569.64 88.967  0.289476 0.303556
15191.6 95.5898 137.209  0.358869 0.309317
20054.9 114.986 89.6011  0.258498 0.306805
16222.9 659.728 150.323  0.33475 0.314131
14036.1 1.78835 7.1749  0.38796 0.320232
17471.7 1029.82 569.266  0.307706 0.319631
