/home/jaredmales/Source/Magellan/visao_base/calib/visao/reconstructor/RecMats/Rec_20111125_165625.fits
12354.9 -8.96839 -17.0876  0.434551 0.0301109
14002.6 -0.211896 -22.1949  0.388837 0.0520186
13708.9 -40.7306 -45.0808  0.39662 0.0827951
13780.7 -38.9679 -51.7493  0.394702 0.120067
14244.2 -36.8151 -55.6187  0.382552 0.161805
14106.1 -38.1102 -21.2822  0.386132 0.2076
14194.7 -38.6268 -18.0013  0.383832 0.254282
13194.8 -38.9834 -39.3904  0.410615 0.301423
13746.8 -44.6816 -16.934  0.395606 0.343253
12604 -38.6109 -0.539421  0.427309 0.382033
12239.8 -5.67839 -27.8651  0.437938 0.413466
12660.9 -10.9131 -62.2696  0.425672 0.436246
11844 -25.4247 -41.7745  0.449789 0.45304
13322.5 -33.6318 -46.5035  0.407091 0.459068
11643.6 -29.0658 -32.5111  0.45591 0.463017
11857.8 -23.3324 -23.4999  0.449371 0.460769
12461.6 -52.9862 -25.3864  0.431434 0.454455
10137.4 -26.793 -28.5461  0.504669 0.452028
10872.3 -23.6928 -1.8237  0.480261 0.449345
13205 -43.2266 1.32369  0.410333 0.426171
12362.4 -26.6564 8.71127  0.434332 0.430154
10628.8 -5.62248 -20.9347  0.488212 0.436622
11390.7 -11.3805 -25.1695  0.463756 0.43934
12184 -25.8537 -35.5141  0.439589 0.440783
11817.8 -40.9317 -36.1356  0.450583 0.441685
11423 -21.3566 -49.2682  0.462746 0.442551
11998.6 -40.8783 -74.363  0.445123 0.440122
11212.2 -60.2808 -33.6768  0.469373 0.441304
11987.5 -54.0899 -12.529  0.445456 0.438222
11942.1 -23.6643 -15.6237  0.446822 0.436546
11956.1 -18.8679 -0.792274  0.4464 0.435872
11318.4 -33.6439 10.868  0.466021 0.434498
12442.4 -40.8014 -4.93959  0.431992 0.433586
12005.8 1.16416 -4.82199  0.444905 0.430333
12632.5 -4.05685 -0.557235  0.426489 0.427741
12334.4 -5.0985 -4.75191  0.435154 0.427162
12904.7 -5.30728 -30.1528  0.418729 0.421098
11899.8 16.6207 -36.6963  0.448099 0.42114
12231.9 -11.4984 -34.4439  0.438171 0.421919
11962.8 -16.2928 -3.83805  0.446199 0.419319
12452.6 -3.53963 -10.6618  0.431697 0.41446
11687.4 -8.86118 -32.6476  0.454566 0.415575
11345.8 -50.0896 -16.6218  0.465161 0.417612
12390.2 -39.5016 0.190577  0.433519 0.416224
12906.1 -38.1259 7.14056  0.418689 0.414911
12276.9 -20.7657 21.2732  0.436844 0.416763
13014 -37.4323 29.3403  0.415654 0.414803
13242.3 -27.6506 6.81218  0.409301 0.414633
13892.8 -10.247 5.67584  0.391727 0.411733
12817 -11.5123 13.9416  0.421214 0.410428
12934.5 11.0183 13.0969  0.41789 0.406668
13863.1 -6.85271 -11.7314  0.392515 0.403334
12084.2 8.83114 -35.6307  0.44256 0.401483
13064.7 -4.97585 -6.30661  0.414233 0.398023
13437.7 -37.148 22.5499  0.40394 0.393832
13000.2 -0.579582 23.3381  0.416042 0.392405
11973.3 14.0235 7.18444  0.445882 0.391494
11168 -11.9872 29.7603  0.470775 0.39459
11747.8 -17.6687 34.3614  0.452717 0.396721
11402.2 -5.33247 5.56199  0.463395 0.402374
13083.1 11.0716 20.6797  0.41372 0.403892
11099.4 -0.868176 49.4288  0.472959 0.411282
13059 -2.81924 14.8822  0.414393 0.415138
12112.9 17.7707 8.45649  0.441702 0.420823
12704.2 -19.3097 -7.77309  0.424431 0.422038
12747 -29.8917 10.7826  0.423208 0.424072
11717.9 3.49247 -14.6307  0.45363 0.426237
12494.1 20.5986 -31.636  0.430488 0.425688
11346.6 -12.1461 -15.057  0.465137 0.425319
11684.8 -28.142 14.431  0.454645 0.424555
10629.5 37.6575 38.1203  0.488192 0.427884
12429.4 7.07874 43.1239  0.432374 0.423723
13707.7 -5.41128 52.542  0.396651 0.422182
12748.9 24.2791 17.1039  0.423153 0.42225
12433.4 25.5885 9.56823  0.432255 0.420907
12164.7 1.88358 16.3705  0.440162 0.419276
12590.5 26.2705 -2.86128  0.427698 0.416999
12354.5 19.19 -36.0298  0.434562 0.417414
13526.8 6.14769 15.8819  0.40152 0.413523
12039.2 -28.6287 38.0748  0.443905 0.415507
11898.4 1.47366 57.4086  0.448141 0.411503
12211.7 -3.83977 32.8569  0.43877 0.412306
11931.1 -7.25066 34.0439  0.447153 0.410735
13005 -11.074 39.0947  0.415905 0.409126
12536.9 8.40243 21.4116  0.429247 0.409197
12587.3 31.4938 -18.7074  0.427792 0.407698
13230.1 41.3387 -2.75051  0.409639 0.407898
13910.7 12.8043 -10.9499  0.391256 0.404716
12225 36.665 -8.29706  0.438377 0.406849
12500.9 26.0833 1.31539  0.430293 0.404979
13066 6.33844 21.4984  0.414197 0.405609
12805.1 -9.38376 27.6065  0.421553 0.40587
12279.4 15.7093 31.8817  0.436769 0.403756
14649.5 5.41756 28.278  0.372233 0.398061
13102.7 -7.38464 48.6957  0.413173 0.396842
13666.6 6.81594 29.9822  0.39775 0.394531
14289.3 34.5198 14.6344  0.381391 0.390395
14222.3 17.1212 23.2211  0.383118 0.388493
14051.8 7.89353 29.4836  0.387548 0.383352
12785.3 10.4782 16.6422  0.422116 0.382157
13885.2 23.2444 15.6997  0.39193 0.379427
12077 -0.252095 21.837  0.442775 0.380278
13475 -12.0065 22.7524  0.402926 0.379693
12711.4 38.7701 11.9697  0.424226 0.380322
14099.7 30.5923 -9.64267  0.386298 0.379072
13654.3 47.4981 25.3429  0.398082 0.380596
13139 37.9292 30.6112  0.412162 0.383206
13091.8 63.5585 10.4182  0.413477 0.382919
13161 34.1045 21.9025  0.411551 0.385192
13060.8 -3.72154 49.2279  0.414344 0.388253
14497.9 -4.64547 31.8343  0.376062 0.387367
13467.6 33.5629 -13.8167  0.403126 0.387726
13082.6 12.0086 -0.386272  0.413734 0.391184
14250.8 22.5014 8.322  0.382381 0.386988
15053.4 15.9335 36.84  0.362229 0.383891
13296.9 50.6897 20.7806  0.407795 0.383852
12940.7 35.2823 51.1083  0.417714 0.382319
14481.5 12.5376 64.2445  0.376477 0.378209
14032.7 -1.54252 35.6795  0.388049 0.374815
14647.3 6.94011 34.2861  0.37229 0.373448
14408.6 -27.0119 34.7438  0.378332 0.36936
15176.7 21.9224 9.42654  0.35923 0.367864
15659.6 42.7966 -16.0627  0.347716 0.363045
17212.5 62.9741 -44.782  0.313133 0.358084
15402.4 48.1018 -16.3349  0.353801 0.353863
14690.9 53.2513 15.4075  0.371196 0.349322
14683.7 70.915 0.18465  0.371377 0.345425
14957.8 30.6899 5.78501  0.364573 0.341978
14999.6 11.4958 41.6968  0.363546 0.33885
16926.9 -4.09794 21.0489  0.319225 0.335336
15795.3 23.8641 0.159008  0.344547 0.332144
15987.3 10.1091 25.2331  0.340112 0.32905
17567 3.99709 29.113  0.305732 0.326004
16509.1 23.2339 3.3543  0.328349 0.325006
16632.4 30.4477 -4.91413  0.325629 0.320346
15754.9 25.6232 39.1023  0.345488 0.318748
16264.3 7.43613 39.0165  0.333816 0.318653
17016.8 31.678 11.3175  0.317294 0.31532
17329 3.08271 -13.0738  0.310681 0.312932
17358.6 1.62528 21.097  0.310063 0.309632
16442.7 21.5955 28.3438  0.329824 0.308627
17945.6 50.911 8.84052  0.298023 0.304679
17438.3 39.7408 4.5295  0.3084 0.303441
14945.9 15.2784 -10.2223  0.364864 0.302903
18184.7 9.18217 13.4351  0.293255 0.298323
19928.2 45.6499 -14.1883  0.260716 0.294815
19886.5 11.0728 -11.7093  0.26145 0.29204
19877.8 6.13342 -5.57259  0.261604 0.287804
17708.5 4.73465 -20.8274  0.302828 0.287469
18694.9 16.9238 -15.2499  0.283333 0.281434
19741.7 35.5574 -8.87632  0.264017 0.275585
15843 7.59686 20.6834  0.34344 0.27725
17800 35.3441 18.9469  0.300965 0.272548
17503.3 28.9073 -7.12181  0.30705 0.271707
18884.6 15.8837 38.3979  0.279732 0.269322
18393.1 -10.0301 44.1712  0.289162 0.27036
19000.5 8.84099 12.2326  0.277553 0.271138
16986.1 17.9731 -0.120074  0.317952 0.274678
16947.3 0.377966 24.3332  0.318785 0.277585
16448.7 -2.04431 12.207  0.329691 0.280749
18146.1 37.2164 -44.517  0.294019 0.284062
18925.3 32.9148 -35.2404  0.278964 0.285486
19430 21.3708 -8.77  0.269626 0.283603
18210 46.2536 -39.8153  0.292756 0.287942
16671.3 -1.91774 5.08818  0.324775 0.29107
16266.7 -18.2426 25.7644  0.333762 0.291666
17772.2 8.29321 -4.32379  0.30153 0.290371
17049.7 15.6102 -7.7146  0.316591 0.289384
16916.5 -2.80912 29.1682  0.319449 0.291268
17929.7 40.0213 9.31383  0.298344 0.2925
17739.2 44.3315 -0.757712  0.302203 0.290082
15996.7 6.00035 2.69767  0.339898 0.295613
17353.9 40.8149 -0.560928  0.310161 0.296331
18270 57.0153 -5.11237  0.291573 0.297552
16771.8 26.5833 14.4389  0.322582 0.299132
16957.9 65.914 -10.0578  0.318558 0.300438
16002 37.9076 -13.5428  0.339776 0.301137
16171.6 0.672381 7.48297  0.33591 0.30315
16337.9 4.12031 -32.2185  0.332164 0.304725
14222.9 -15.4743 -30.5626  0.383101 0.311782
15038.4 -43.805 -15.7023  0.362595 0.315609
14736 -15.2439 -19.4236  0.370068 0.320636
15622.9 27.3225 -21.0267  0.348577 0.323456
14123 11.7785 -7.50532  0.385693 0.329503
17123.2 -5.6096 4.25387  0.315024 0.331183
15412.7 23.1704 4.34749  0.353555 0.338419
14711.3 30.0702 -3.09851  0.370685 0.342694
15913.2 -7.60586 24.6948  0.341818 0.343958
17531.1 10.618 22.6438  0.306476 0.343494
16778.5 29.244 -6.3457  0.322436 0.342276
14041.3 9.41801 -23.9383  0.387823 0.342023
