15079.8 27.322 4.78832  0.361585 0.0192052
18278.3 16.1736 -12.9348  0.291409 0.0303582
13075.5 17.7584 -30.3892  0.413934 0.0532549
17752.7 33.216 2.08155  0.301927 0.0721283
18247.8 0.671648 -11.9915  0.29201 0.0963883
15625.9 0.0555675 -31.7276  0.348505 0.1261
20947.6 -35.0944 -35.6983  0.24339 0.150711
18510.2 -19.2846 -11.3117  0.286887 0.179619
16927.3 -44.9613 -26.7644  0.319216 0.207852
18936.5 -21.1149 -23.0608  0.278754 0.231319
17274.4 -36.1866 -28.1907  0.311829 0.254102
14700.7 -30.9637 -39.7627  0.370951 0.275649
inf -8.79103e+28 -4.06307e+28  0 0.273083
18159.8 -7.74053 -19.4468  0.293749 0.28749
17804.5 26.8264 -31.8297  0.300874 0.300165
20172.1 -11.3798 16.0355  0.256461 0.290255
18842.8 -3.74961 2.82986  0.280522 0.288914
21287.5 17.6779 -14.6753  0.237872 0.27731
21940.4 8.47031 -12.1623  0.227623 0.271962
16593 3.64993 -12.1451  0.326497 0.273786
16552.1 27.4382 -41.2582  0.327398 0.269767
20585.3 67.1539 -25.1911  0.249411 0.268868
15594.3 16.3101 -31.1241  0.349249 0.274058
21529.5 8.78323 -17.6198  0.23402 0.27012
18769.7 -25.0488 -25.5186  0.281908 0.274228
18836.3 -16.3048 19.334  0.280645 0.277385
15279 14.0101 8.17135  0.356759 0.273742
19052.9 -27.8105 -10.0119  0.276574 0.28827
16786.8 -3.79868 7.99259  0.322255 0.291789
16330.6 -16.5505 15.4924  0.332326 0.293938
17795.2 -0.450961 -4.58237  0.301063 0.297167
22498.1 -11.4408 -30.2056  0.219218 0.294465
18652.3 28.6239 -15.8911  0.284149 0.297581
19663.8 44.2982 -46.8203  0.265407 0.30006
16494.1 13.6511 -49.22  0.328681 0.301015
19233.9 27.8675 -37.5195  0.273218 0.296215
19494.9 31.7761 -18.4834  0.268449 0.298129
23794.5 26.8134 -3.97096  0.200862 0.28878
19535.7 18.7641 -23.0012  0.267711 0.290092
16453.1 1.42167 3.62628  0.329592 0.290172
14780.2 -8.07354 3.52451  0.368966 0.293258
18788.4 -6.57365 51.7027  0.281553 0.286884
19341.2 -14.0384 27.4715  0.271246 0.287605
15311.1 -7.80406 5.52186  0.355986 0.291493
17606.4 -41.0271 -14.6499  0.304922 0.290949
20050.1 2.49422 14.8305  0.258581 0.289343
16490.8 29.9583 -35.1262  0.328755 0.297339
18052.1 31.5265 -35.1304  0.29589 0.298406
15694.6 44.1094 -5.57429  0.346896 0.305076
18377 -39.6186 -9.43223  0.289476 0.303556
15191.6 -9.777 -11.7136  0.358869 0.309317
20054.9 10.7232 -9.46579  0.258498 0.306805
16222.9 -25.6852 12.2606  0.33475 0.314131
14036.1 1.33729 2.6786  0.38796 0.320232
17471.7 32.0908 -23.8593  0.307706 0.319631
16593.1 12.2563 -26.0549  0.326495 0.318465
16134.7 31.7015 4.18255  0.336747 0.321572
15334.9 28.5091 4.83763  0.355416 0.327757
17680.1 28.7048 -33.8706  0.30341 0.325791
15761.7 53.0144 6.40068  0.345327 0.328434
18691.5 32.19 -10.5051  0.2834 0.330343
14833.1 -30.7771 -18.9154  0.367652 0.333119
14689.8 5.04599 0.573528  0.371223 0.337071
17779.2 0.588714 -31.8037  0.301387 0.333749
17974.6 -14.2811 23.7543  0.297442 0.335718
16025.4 0.265957 2.77569  0.339239 0.333839
14593.9 8.84305 21.765  0.373633 0.339179
19469.3 -17.1369 -45.9898  0.268913 0.335854
17551.6 -27.6104 -3.87077  0.306052 0.332224
20093.3 23.447 33.7983  0.257829 0.329296
14341.1 5.25367 -6.1169  0.38006 0.332354
17000.8 31.3366 -9.84248  0.317637 0.329751
18729 8.41452 -12.6759  0.282682 0.324773
12891.4 52.988 15.5115  0.419104 0.330964
18006.1 69.5648 -8.7672  0.296811 0.325247
19083.8 22.02 2.8648  0.275997 0.3261
16387.4 -18.9331 -28.2184  0.331057 0.326066
19579.7 9.40783 28.0649  0.266918 0.320317
19640.6 37.5936 -9.0844  0.265824 0.318797
17780.4 -19.6915 -13.7857  0.301364 0.319447
20815.3 -15.9619 -2.01823  0.245572 0.314923
14816.3 14.3259 3.01599  0.368069 0.31356
14149.2 -22.6643 -22.2447  0.385012 0.316728
14956.3 -31.7563 3.0718  0.364609 0.316203
14264.9 32.3804 -19.0578  0.382017 0.322791
20177.7 38.9882 -25.4551  0.256364 0.316409
16239 39.1828 0.553226  0.334386 0.319405
22337.4 29.3044 -2.1816  0.221608 0.31969
15296.5 6.12897 -10.0363  0.356337 0.319824
14762.7 -23.5006 7.15495  0.369403 0.323394
19858.1 22.307 13.3521  0.261951 0.323236
15187.6 3.31331 20.5376  0.358965 0.325517
19011.7 -27.6543 -12.7222  0.277343 0.324042
17779.9 19.5498 -2.84531  0.301374 0.325442
14535.2 25.8062 -29.7402  0.375115 0.326361
18929.7 14.5832 23.4049  0.278881 0.326245
15749.5 -14.9545 -14.7271  0.345612 0.326167
13524 9.71114 -17.8598  0.401598 0.327326
24165.1 41.3201 -32.0838  0.195902 0.319483
16085.8 25.6778 -0.564639  0.33786 0.319387
20368.1 -36.7129 -10.3612  0.253093 0.319404
18814.4 -38.5864 -13.2936  0.28106 0.315484
15956.9 -26.6371 -4.57711  0.340811 0.321505
18111.3 -24.9303 7.2028  0.294712 0.317604
15887.5 -23.148 -19.6992  0.34241 0.314453
13588.3 -13.188 -26.7938  0.399857 0.320976
16002.9 -6.82765 12.0065  0.339755 0.317692
15945.6 -32.9571 1.42071  0.34107 0.320879
17836.6 0.169286 0.0237409  0.300224 0.322856
17620.5 25.633 -41.7399  0.304631 0.320648
13483.4 18.5243 1.35035  0.402699 0.329655
15283.3 6.35506 5.66614  0.356654 0.332945
15056.2 20.4769 2.75224  0.36216 0.330874
20894.9 24.2177 -32.3524  0.244257 0.335369
13721.1 -5.99258 -31.1893  0.396291 0.340094
15461.9 39.3923 25.714  0.352385 0.343524
14830.4 -15.4033 15.1844  0.36772 0.34813
14958.4 -26.8748 24.0845  0.364557 0.348223
15688.7 -34.808 -20.7191  0.347034 0.35083
